ProductID,ProductName,Category,UnitPrice,StockQuantity,SupplierName
2000,Electronics-Be,Electronics,969.31,29,SmartLife
2001,Electronics-Be,Clothing,412.35,83,TechSource
2002,Office-Family,Clothing,866,32,SmartLife
2003,Electronics-Training,Clothing,385.18,54,NULL
2004,Office-Where,Home,927.25,34,AudioWorld
2005,Office-Huge,Home,428.78,74,AudioWorld
2006,Office-Class,Clothing,198,85,HomeEssentials
2007,Clothing-Over,Electronics,583.39,72,HomeEssentials
2008,Electronics-Skin,Home,66.59,68,HomeEssentials
2009,Office-Raise,Clothing,66.31,69,
2010,Electronics-Themselves,Clothing,77.84,24,TechSource
2011,Electronics-Religious,Clothing,409.74,64,
2012,Clothing-Artist,Electronics,623.19,64,SmartLife
2013,Office-Cultural,Home,935.36,85,SmartLife
2014,Clothing-Eat,Home,246.3,97,AudioWorld
2015,Office-Itself,Clothing,674.97,67,HomeEssentials
2016,Home-He,Office,323.02,37,TechSource
2017,Electronics-Feeling,Electronics,463.7,28,SmartLife
2018,Electronics-Nature,Electronics,542.26,44,TechSource
2019,Home-History,Clothing,933.93,62,AudioWorld
2020,Electronics-Share,Clothing,375.83,9,HomeEssentials
2021,Clothing-Skill,Office,835.41,41,AudioWorld
2022,Home-Economy,Electronics,671.18,8,SmartLife
2023,Home-Yeah,Electronics,939.54,100,SmartLife
2024,Clothing-Paper,Home,124.27,27,TechSource
2023,Home-Yeah,Electronics,939.54,100,SmartLife
2024,Clothing-Paper,Home,124.27,27,TechSource
2023,Home-Yeah,Electronics,939.54,100,SmartLife
2024,Clothing-Paper,Home,124.27,27,TechSource
2024,Clothing-Paper,Home,124.27,27,TechSource
2025,Electronics-Assume,Clothing,279.62,93,SmartLife
2026,Clothing-Use,Home,211.56,56,AudioWorld
2027,Home-Purpose,Office,258.61,54,HomeEssentials
2028,Electronics-Take,Electronics,637.94,62,AudioWorld
2029,Home-Yourself,Electronics,13.51,88,SmartLife
2030,Clothing-First,Home,169.97,86,TechSource
2031,Office-Develop,Office,565.3,75,SmartLife
2032,Electronics-There,Electronics,945.6,8,SmartLife
2033,Clothing-Argue,Electronics,836.25,5,HomeEssentials
2034,Clothing-Feel,Office,136.17,38,
2035,Home-According,Home,899.99,80,SmartLife
2036,Electronics-Candidate,Home,217.98,80,SmartLife
2037,Clothing-Meeting,Electronics,360.14,69,TechSource
2038,Office-Soon,Clothing,926.51,83,SmartLife
2039,Clothing-Need,Clothing,976.44,87,AudioWorld
2040,Clothing-Determine,Office,34.54,13,HomeEssentials
2041,Home-Assume,Office,804.21,99,SmartLife
2042,Clothing-Lawyer,Home,167.61,78,HomeEssentials
2043,Electronics-Practice,Office,873.45,31,TechSource
2044,Office-Society,Clothing,207.58,8,TechSource
2045,Office-Next,Home,312.14,74,HomeEssentials
2046,Clothing-Worry,Clothing,33.43,89,HomeEssentials
2047,Clothing-Hair,Office,334.98,84,SmartLife
2048,Electronics-Candidate,Home,357.63,47,HomeEssentials
2049,Office-Easy,Home,939.84,65,SmartLife
2050,Electronics-Young,Home,186.78,77,TechSource
2051,Home-Century,Electronics,117.32,21,TechSource
2052,Office-Year,Home,731.26,40,SmartLife
2053,Home-Ground,Office,610.15,10,TechSource
2054,Electronics-Above,Office,900.51,40,AudioWorld
2055,Clothing-Politics,Home,53.94,47,AudioWorld
2056,Office-About,Electronics,524.72,24,SmartLife
2057,Clothing-Identify,Home,436.98,66,HomeEssentials
2058,Home-Wear,Home,666.75,19,HomeEssentials
2059,Electronics-Clear,Home,512.05,79,SmartLife
2060,Office-Term,Home,408.38,7,AudioWorld
2061,Home-Quite,Clothing,199.92,25,TechSource
2062,Office-Receive,Clothing,619.36,86,AudioWorld
2063,Home-Good,Office,552.46,38,NULL
2064,Electronics-Stop,Home,294.04,16,NULL
2065,Office-Animal,Home,470.34,79,HomeEssentials
2066,Office-Occur,Clothing,516.06,11,AudioWorld
2067,Clothing-Remain,Electronics,290.95,55,NULL
2068,Home-Read,Electronics,820.24,59,HomeEssentials
2069,Clothing-Garden,Home,232.39,40,AudioWorld
2070,Clothing-About,Clothing,34.18,7,HomeEssentials
2071,Clothing-Success,Office,615.16,30,TechSource
2072,Electronics-Become,Office,420.3,58,NULL
2073,Clothing-Executive,Office,499.43,57,NULL
2074,Clothing-Strong,Clothing,659.5,75,NULL
2075,Electronics-Letter,Electronics,780.64,59,SmartLife
2076,Clothing-Affect,Clothing,806.07,57,AudioWorld
2077,Office-Ball,Electronics,561.83,12,SmartLife
2078,Electronics-Film,Office,142.01,60,HomeEssentials
2079,Office-Who,Home,950.54,33,AudioWorld
2080,Office-Doctor,Office,832.26,70,SmartLife
2081,Office-Light,Clothing,746.22,45,TechSource
2082,Office-Figure,Office,266.6,66,TechSource
2083,Clothing-Cut,Home,768.16,96,AudioWorld
2084,Office-Stuff,Clothing,281.85,42,AudioWorld
2085,Electronics-Officer,Home,242.15,100,TechSource
2086,Home-Of,Home,894.1,77,TechSource
2087,Electronics-Rather,Clothing,159.32,65,AudioWorld
2088,Office-Evening,Clothing,709.35,19,SmartLife
2089,Electronics-Action,Office,413.52,43,AudioWorld
2090,Office-Staff,Office,71.64,31,TechSource
2091,Office-Mrs,Office,905.79,34,TechSource
2092,Electronics-Add,Office,482.21,23,TechSource
2093,Home-Real,Home,755.94,32,SmartLife
2094,Office-Fight,Clothing,493.35,27,SmartLife
2095,Home-Seem,Office,490.79,23,AudioWorld
2096,Office-Discuss,Home,672.18,34,HomeEssentials
2097,Office-Recent,Clothing,842.1,87,TechSource
2098,Clothing-Trouble,Electronics,907.86,48,AudioWorld
2099,Electronics-Several,Electronics,646.32,36,HomeEssentials
