TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
1,5/4/2025,1034,2059,402,0,2048.2,25,Cash
2,5/4/2025,1066,2048,403,1,321.87,25,NULL
3,5/4/2025,1116,2041,403,3,3216.84,6%,Cash
4,5/4/2025,1071,2096,404,2,1613.23,10,Credit
5,5/4/2025,1020,2060,401,0,408.38,14%,NULL
6,5/4/2025,1089,2028,401,0,1275.88,23,Credit
7,5/4/2025,1193,2003,402,1,346.66,26,Cash
8,5/4/2025,1005,2079,402,1,855.49,29,NULL
9,5/4/2025,1032,2060,401,1,735.08,13%,NULL
10,5/4/2025,1119,2089,403,2,661.63,4,Cash
11,5/4/2025,1042,2077,401,,505.65,17%,Paypal
12,5/4/2025,1079,2013,401,2,0,12%,Credit
13,5/4/2025,1147,2086,404,3,4470.5,17,NULL
14,5/4/2025,1183,2025,401,1,503.32,25,Cash
15,5/4/2025,1026,2089,403,0,413.52,29%,Credit
16,5/4/2025,1144,2005,403,3,1715.12,9,NULL
17,5/4/2025,1169,2047,401,2,535.97,8,Paypal
18,5/4/2025,1003,2053,404,0,3660.9,2,Credit
19,5/4/2025,1110,2046,404,1,30.09,17%,Cash
20,5/4/2025,1111,2022,403,3,671.18,21%,Cash
21,5/4/2025,1119,2055,403,2,?,6%,Cash
22,5/4/2025,1062,2011,403,3,1229.22,18%,Cash
23,5/4/2025,1062,2096,404,3,672.18,30,Cash
24,5/4/2025,1086,2003,404,2,924.43,20%,NULL
25,5/4/2025,1046,2062,402,2,1981.95,2%,Cash
26,5/4/2025,1066,2043,403,2,698.76,30%,NULL
27,5/4/2025,1142,2001,402,0,1237.05,28%,Paypal
28,5/4/2025,1061,2092,404,3,482.21,14,Paypal
29,5/4/2025,1142,2097,402,3,4210.5,16%,NULL
30,5/4/2025,1165,2091,404,3,4528.95,29,Cash
31,2023-13-01,1004,2011,403,1,737.53,0%,Credit
32,5/4/2025,1103,2088,402,2,0,29,Paypal
33,5/4/2025,1169,2074,403,3,0,8,Paypal
34,5/4/2025,1141,2067,403,3,872.85,26%,Credit
35,5/4/2025,1190,2070,403,2,54.69,11,Credit
36,5/4/2025,1179,2058,403,2,1066.8,8,NULL
37,5/4/2025,1064,2029,401,1,12.16,28%,Credit
38,5/4/2025,1080,2015,402,1,3037.36,2,Credit
39,5/4/2025,1055,2094,404,2,1578.72,18%,Paypal
40,5/4/2025,1185,2075,403,0,0,28,Paypal
41,5/4/2025,9999,2037,402,2,288.11,20%,Paypal
42,5/4/2025,1045,2038,401,1,1667.72,13,NULL
43,5/4/2025,1070,2005,401,2,686.05,7%,Cash
44,5/4/2025,1178,2016,404,0,0,14%,Paypal
45,5/4/2025,1003,2073,403,3,1498.29,26%,Cash
46,5/4/2025,1122,2056,403,1,944.5,28,Paypal
47,5/4/2025,1013,2032,404,0,2836.8,10%,Paypal
48,5/4/2025,1016,2051,404,0,117.32,15,NULL
49,5/4/2025,1147,2080,401,1,0,8,Cash
50,5/4/2025,1038,2072,403,0,840.6,16%,Credit
51,5/4/2025,1063,2015,404,1,1214.95,30%,Paypal
52,5/4/2025,1198,2066,404,3,516.06,0%,Credit
53,5/4/2025,1113,2038,404,2,2223.62,2%,Cash
54,5/4/2025,1145,2079,401,0,1901.08,8,Credit
55,5/4/2025,1195,2026,402,2,507.74,10,NULL
56,5/4/2025,1169,2010,402,1,140.11,8%,Paypal
57,5/4/2025,1044,2070,401,1,0,7%,NULL
58,5/4/2025,1000,2052,404,3,2193.78,25%,Paypal
59,5/4/2025,1074,2004,402,2,741.8,6%,Cash
60,5/4/2025,1180,2036,404,0,217.98,21,Cash
61,5/4/2025,1175,2029,403,1,36.48,9%,Cash
62,5/4/2025,1108,2014,402,1,221.67,7%,Credit
63,5/4/2025,1068,2018,401,0,2169.04,18%,Paypal
64,5/4/2025,1042,2039,403,3,2929.32,0%,NULL
65,5/4/2025,1031,2059,403,3,0,11,Credit
66,5/4/2025,1069,2064,404,3,1470.2,19,Paypal
67,5/4/2025,1020,2076,401,3,4836.42,21,Paypal
68,5/4/2025,1188,2041,403,0,1608.42,28%,Credit
69,5/4/2025,1023,2029,401,2,0,6,Credit
70,5/4/2025,1147,2005,402,3,0,26,Paypal
71,5/4/2025,1132,2083,404,2,614.53,14%,NULL
72,5/4/2025,1046,2074,404,3,659.5,21,Credit
73,5/4/2025,1023,2060,403,3,1225.14,20,Cash
74,5/4/2025,1085,2041,401,1,1447.58,5,Cash
75,5/4/2025,1084,2052,404,2,2925.04,7,Credit
76,5/4/2025,1169,2051,401,3,117.32,1,Cash
77,5/4/2025,1022,2040,403,2,55.26,18,Paypal
78,5/4/2025,1029,2098,404,0,3631.44,22,Credit
79,5/4/2025,1168,2069,404,3,232.39,15%,Cash
80,5/4/2025,1013,2024,403,3,372.81,17%,Cash
81,5/4/2025,1160,2056,401,1,472.25,5,Credit
82,5/4/2025,1068,2070,402,2,109.38,7,NULL
83,5/4/2025,1112,2089,404,0,2067.6,11%,Credit
84,5/4/2025,1007,2080,402,1,1498.07,13%,NULL
85,5/4/2025,1079,2070,401,3,34.18,28%,Cash
86,5/4/2025,1023,2028,401,3,2551.76,19,Cash
87,5/4/2025,1030,2082,402,3,799.8,25%,Credit
88,5/4/2025,1183,2037,403,3,2160.84,8%,Cash
89,5/4/2025,1123,2060,402,3,2450.28,18%,NULL
90,5/4/2025,1141,2018,404,1,2440.17,18,NULL
91,5/4/2025,1153,2065,402,0,470.34,0,Cash
92,5/4/2025,1070,2098,404,2,0,1%,Credit
93,5/4/2025,1129,2034,401,2,108.94,2,Credit
94,5/4/2025,1185,2038,404,1,1667.72,0,Cash
95,5/4/2025,1114,2068,404,2,656.19,14,Paypal
96,5/4/2025,1085,2070,404,3,0,23%,NULL
97,5/4/2025,1082,2024,402,3,372.81,28%,Cash
98,5/4/2025,1059,2099,404,0,1292.64,13,Paypal
99,5/4/2025,1081,2095,404,3,490.79,20,Paypal
100,5/4/2025,1098,2084,402,3,0,28,Cash
101,5/4/2025,1009,2016,403,0,969.06,14%,Credit
102,5/4/2025,1112,2012,404,0,1869.57,0%,Paypal
103,5/4/2025,1184,2018,404,1,488.03,29%,NULL
104,5/4/2025,1019,2060,403,2,0,20%,Cash
105,5/4/2025,1159,2088,404,0,0,10%,Paypal
106,5/4/2025,1084,2086,404,2,2861.12,0,NULL
107,5/4/2025,1160,2091,404,0,905.79,3,Paypal
108,5/4/2025,1158,2008,402,2,159.82,6,Credit
109,5/4/2025,1058,2095,401,3,2453.95,6,Credit
110,5/4/2025,1025,2097,401,3,842.1,21%,NULL
111,5/4/2025,1042,2088,403,0,709.35,18%,Paypal
112,5/4/2025,1011,2041,401,2,0,3,Cash
113,5/4/2025,1091,2047,404,1,0,29,Cash
114,5/4/2025,1062,2067,404,1,0,13%,NULL
115,5/4/2025,1043,2022,401,3,2684.72,25,NULL
116,5/4/2025,1158,2087,402,3,477.96,26%,Cash
117,5/4/2025,1149,2018,402,3,1626.78,5%,NULL
118,5/4/2025,1163,2032,404,2,756.48,4,Paypal
119,5/4/2025,1170,2001,404,2,659.76,6,Cash
120,5/4/2025,1173,2069,402,0,464.78,12%,Credit
121,5/4/2025,1113,2044,403,3,0,28%,NULL
122,5/4/2025,1176,2032,404,2,756.48,25%,Cash
123,5/4/2025,1050,2049,404,0,2819.52,7%,NULL
124,5/4/2025,1060,2048,403,2,1144.42,27%,Credit
125,5/4/2025,1179,2037,401,3,1440.56,12%,Paypal
126,5/4/2025,1070,2001,401,3,0,8%,NULL
127,5/4/2025,1073,2099,402,2,0,5,Paypal
128,5/4/2025,1056,2081,402,2,0,17,Paypal
129,5/4/2025,1173,2096,402,0,672.18,10%,NULL
130,5/4/2025,1160,2082,401,2,426.56,6,Cash
131,5/4/2025,1112,2004,403,1,1669.05,4,Credit
132,5/4/2025,1023,2037,403,3,2160.84,4,Credit
133,5/4/2025,1044,2025,402,2,223.7,15,NULL
134,5/4/2025,1135,2064,403,1,793.91,6%,Paypal
135,5/4/2025,1065,2061,403,2,639.74,27%,Credit
136,5/4/2025,1029,2059,401,1,921.69,22,Credit
137,5/4/2025,1193,2028,404,2,1531.06,28,Cash
138,5/4/2025,1023,2050,401,2,298.85,14,Cash
139,5/4/2025,1137,2015,404,2,539.98,12%,Credit
140,5/4/2025,1172,2095,403,3,2453.95,3%,NULL
141,5/4/2025,1163,2047,401,1,301.48,17%,Credit
142,5/4/2025,1120,2003,403,1,1039.99,8,Paypal
143,5/4/2025,1165,2008,404,2,53.27,26,NULL
144,5/4/2025,1166,2052,401,1,658.13,13,Credit
145,5/4/2025,1011,2004,403,3,3709,16,Cash
146,5/4/2025,1029,2012,402,1,0,5%,Cash
147,5/4/2025,1099,2058,403,3,666.75,6,Credit
148,5/4/2025,1150,2095,402,3,490.79,23,Paypal
149,5/4/2025,1167,2012,404,3,0,18%,Cash
150,5/4/2025,1071,2004,403,1,834.52,29%,Credit
151,5/4/2025,1113,2056,402,2,839.55,6,Credit
152,5/4/2025,1025,2087,403,2,0,24%,Cash
153,5/4/2025,1015,2050,403,1,504.31,5,Credit
